Question,Answer
What is 32 minus 59?,-27
What is the area of a circle with radius 46?,6644.24
What is 42 times 96?,4032
What is the area of a circle with radius 54?,9156.24
What is 89 plus 15?,104
What is 71 minus 14?,57
What is 46 times 54?,2484
A bag contains 44 red and 94 blue balls. What is the probability of drawing a red ball?,31.88%
What is 17 times 56?,952
A bag contains 44 red and 56 blue balls. What is the probability of drawing a red ball?,44.0%
What is 45 plus 86?,131
What is 43 minus 12?,31
"Find the median of 80, 45, and 72.",72
What is 77 divided by 99?,0
Find the derivative of 10x^2 at x = 19.,380
Find the derivative of 82x^2 at x = 16.,2624
What is the probability of rolling a die and getting a number greater than 57?,-850.0%
Find the derivative of 93x^2 at x = 50.,9300
What is 59 plus 86?,145
What is 37 plus 61?,98
"Find the median of 61, 65, and 33.",61
What is the solution for x in the equation 2x - 49 = 39?,44
What is 89 plus 28?,117
What is 55 minus 77?,-22
What is the solution for x in the equation 2x - 36 = 10?,23
What is the perimeter of a square with side length 89?,356
What is 28 plus 21?,49
A bag contains 55 red and 33 blue balls. What is the probability of drawing a red ball?,62.5%
What is the perimeter of a square with side length 43?,172
Solve for x in the equation x + 46 = 94.,48
What is 78 times 23?,1794
What is 54 times 40?,2160
What is 64 plus 65?,129
"Find the median of 86, 49, and 8.",49
What is the probability of rolling a die and getting a number greater than 38?,-533.33%
What is the area of a rectangle with width 28 and height 31?,868
What is 42 minus 97?,-55
What is the area of a rectangle with width 52 and height 62?,3224
Find the derivative of 88x^2 at x = 13.,2288
What is 29 plus 9?,38
What is 66 divided by 22?,3
Find the derivative of 79x^2 at x = 26.,4108
Calculate the integral of 73x from 0 to 62.,140306
What is 43 divided by 14?,3
What is the perimeter of a square with side length 89?,356
"Calculate the average of the numbers 94, 25, and 64.",61
What is the solution for x in the equation 2x - 88 = 55?,71
What is the solution for x in the equation 2x - 38 = 35?,36
What is 85 times 59?,5015
What is the solution for x in the equation 2x - 8 = 18?,13
What is the area of a rectangle with width 11 and height 90?,990
What is 43 divided by 58?,0
What is 68 times 33?,2244
What is the area of a rectangle with width 41 and height 99?,4059
What is the solution for x in the equation 2x - 24 = 83?,53
What is the solution for x in the equation 2x - 99 = 6?,52
What is 67 minus 97?,-30
"Find the median of 30, 22, and 90.",30
What is the probability of rolling a die and getting a number greater than 60?,-900.0%
What is 38 divided by 35?,1
Solve for x in the equation x + 6 = 16.,10
What is the solution for x in the equation 2x - 16 = 50?,33
What is the area of a rectangle with width 91 and height 61?,5551
A bag contains 16 red and 14 blue balls. What is the probability of drawing a red ball?,53.33%
What is 60 minus 73?,-13
What is 66 plus 16?,82
What is 51 minus 17?,34
What is the perimeter of a square with side length 90?,360
Solve for x in the equation x + 76 = 58.,-18
What is 50 times 100?,5000
Calculate the integral of 21x from 0 to 39.,15970
What is the perimeter of a square with side length 37?,148
